#Procedure: <__main__.Keithley2100Procedure>
#Parameters:
#	Start Voltage: 0 V
#	Step Size: 0.266 V
#	Stop Voltage: 75 V
#	Time(s): 0.1 s
#Data:
Voltage(V):Stage,Voltage(V)
nan,-0.0559573504
nan,-0.0546866688
nan,-0.0537183232
nan,-0.0523936416
nan,-0.0511568448
nan,-0.0505017216
nan,-0.000111245312
nan,-2.276e-05
nan,-6.12523968e-06
nan,4.27006496e-06
nan,8.00694656e-06
nan,1.36408544e-05
nan,1.24250968e-05
nan,1.6162192e-05
nan,1.88266816e-05
nan,1.72620192e-05
nan,1.89854496e-05
nan,2.15777216e-05
nan,2.15082272e-05
nan,2.19463376e-05
nan,2.43145744e-05
nan,2.11743584e-05
nan,2.61092912e-05
nan,2.3184656e-05
nan,2.24562384e-05
nan,2.40196112e-05
nan,2.4561888e-05
nan,2.9428176e-05
nan,3.2117456e-05
nan,3.1426368e-05
nan,2.94904352e-05
nan,2.98887872e-05
nan,3.16495424e-05
